"facultad","empleo"
"Medicina","Desempleado"
"Medicina","Formal"
"Ingeniería","Desempleado"
"Medicina","Formal"
"Ciencias","Desempleado"
"Ciencias","Desempleado"
"Ingeniería","Formal"
"Medicina","Desempleado"
"Medicina","Desempleado"
"Ingeniería","Desempleado"
"Medicina","Desempleado"
"Medicina","Formal"
"Medicina","Desempleado"
"Ingeniería","Formal"
"Medicina","Desempleado"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Medicina","Informal"
"Ciencias","Desempleado"
"Ciencias","Desempleado"
"Medicina","Formal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Medicina","Informal"
"Ciencias","Desempleado"
"Ciencias","Desempleado"
"Medicina","Formal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Medicina","Informal"
"Ciencias","Informal"
"Ciencias","Informal"
"Medicina","Desempleado"
"Medicina","Desempleado"
"Medicina","Informal"
"Ingeniería","Informal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Medicina","Informal"
"Ingeniería","Informal"
"Medicina","Informal"
"Medicina","Desempleado"
"Medicina","Desempleado"
"Ciencias","Informal"
"Ciencias","Informal"
"Medicina","Informal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Ciencias","Desempleado"
"Ciencias","Desempleado"
"Medicina","Formal"
"Medicina","Informal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Ciencias","Desempleado"
"Ciencias","Desempleado"
"Medicina","Formal"
"Ingeniería","Desempleado"
"Medicina","Informal"
"Medicina","Informal"
"Ciencias","Desempleado"
"Medicina","Formal"
"Ciencias","Desempleado"
"Ingeniería","Desempleado"
"Medicina","Informal"
"Medicina","Informal"
"Medicina","Informal"
"Ingeniería","Desempleado"
"Medicina","Informal"
"Medicina","Desempleado"
"Ingeniería","Desempleado"
"Medicina","Formal"
"Ciencias","Desempleado"
"Medicina","Desempleado"
"Ciencias","Formal"
"Ciencias","Informal"
"Ciencias","Informal"
"Medicina","Desempleado"
"Ingeniería","Desempleado"
"Medicina","Informal"
"Medicina","Informal"
"Medicina","Desempleado"
"Ingeniería","Formal"
"Medicina","Desempleado"
"Ciencias","Desempleado"
"Ciencias","Formal"
"Medicina","Desempleado"
"Ciencias","Desempleado"
"Medicina","Informal"
"Ciencias","Informal"
"Medicina","Desempleado"
"Ciencias","Informal"
"Ciencias","Informal"
"Medicina","Desempleado"
"Ciencias","Formal"
"Ciencias","Desempleado"
"Medicina","Desempleado"
"Ciencias","Informal"
"Ciencias","Informal"
"Ciencias","Desempleado"
"Medicina","Informal"
"Ciencias","Informal"
"Ciencias","Desempleado"
"Medicina","Formal"
"Ciencias","Desempleado"
"Medicina","Desempleado"
"Medicina","Desempleado"
"Ingeniería","Formal"
"Medicina","Desempleado"
"Ingeniería","Desempleado"
"Medicina","Formal"
"Medicina","Informal"
"Medicina","Informal"
"Ingeniería","Desempleado"
"Ciencias","Desempleado"
"Medicina","Informal"
"Ciencias","Informal"
"Ciencias","Desempleado"
"Medicina","Formal"
"Ciencias","Desempleado"
"Ingeniería","Desempleado"
"Medicina","Desempleado"
"Medicina","Formal"
"Medicina","Desempleado"
"Ciencias","Informal"
"Ciencias","Informal"
"Ingeniería","Desempleado"
"Medicina","Informal"
"Medicina","Informal"
"Ingeniería","Desempleado"
"Medicina","Formal"
"Medicina","Desempleado"
"Medicina","Informal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Medicina","Desempleado"
"Ingeniería","Desempleado"
"Medicina","Formal"
"Ciencias","Desempleado"
"Ciencias","Formal"
"Medicina","Desempleado"
"Medicina","Desempleado"
"Ciencias","Informal"
"Ciencias","Informal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Medicina","Informal"
"Medicina","Informal"
"Medicina","Informal"
"Ingeniería","Desempleado"
"Medicina","Informal"
"Ingeniería","Desempleado"
"Medicina","Informal"
"Ciencias","Desempleado"
"Medicina","Informal"
"Ciencias","Informal"
"Ingeniería","Informal"
"Medicina","Desempleado"
"Medicina","Informal"
"Ciencias","Informal"
"Ciencias","Desempleado"
"Medicina","Informal"
"Medicina","Desempleado"
"Ingeniería","Informal"
"Medicina","Informal"
"Medicina","Desempleado"
"Ciencias","Formal"
"Ciencias","Desempleado"
"Medicina","Desempleado"
"Ingeniería","Formal"
"Medicina","Desempleado"
"Medicina","Informal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Ingeniería","Desempleado"
"Medicina","Desempleado"
"Medicina","Formal"
"Ciencias","Desempleado"
"Ciencias","Formal"
"Medicina","Desempleado"
"Medicina","Informal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Ciencias","Informal"
"Ciencias","Informal"
"Medicina","Desempleado"
"Ingeniería","Informal"
"Medicina","Informal"
"Medicina","Desempleado"
"Ciencias","Informal"
"Medicina","Desempleado"
"Ciencias","Informal"
"Medicina","Desempleado"
"Ciencias","Formal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Medicina","Informal"
"Ciencias","Desempleado"
"Medicina","Desempleado"
"Ciencias","Desempleado"
"Ciencias","Formal"
"Medicina","Informal"
"Ciencias","Informal"
"Ciencias","Desempleado"
"Ciencias","Desempleado"
"Medicina","Informal"
"Ciencias","Informal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Medicina","Informal"
"Medicina","Informal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Medicina","Desempleado"
"Ciencias","Informal"
"Ciencias","Informal"
"Medicina","Desempleado"
"Ciencias","Formal"
"Ciencias","Desempleado"
"Ciencias","Desempleado"
"Medicina","Formal"
"Ciencias","Desempleado"
"Medicina","Desempleado"
"Ciencias","Informal"
"Ciencias","Informal"
"Medicina","Desempleado"
"Ciencias","Desempleado"
"Ciencias","Formal"
"Medicina","Desempleado"
"Medicina","Informal"
"Ingeniería","Informal"
"Ingeniería","Informal"
"Medicina","Desempleado"
"Medicina","Informal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Medicina","Informal"
"Medicina","Informal"
"Ingeniería","Desempleado"
"Medicina","Informal"
"Ciencias","Informal"
"Medicina","Informal"
"Ciencias","Desempleado"
"Ciencias","Desempleado"
"Medicina","Informal"
"Ciencias","Informal"
"Medicina","Informal"
"Ingeniería","Desempleado"
"Medicina","Informal"
"Ciencias","Informal"
"Ciencias","Informal"
"Medicina","Desempleado"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Medicina","Informal"
"Medicina","Desempleado"
"Ingeniería","Informal"
"Medicina","Informal"
"Medicina","Informal"
"Ingeniería","Informal"
"Medicina","Desempleado"
"Ciencias","Informal"
"Ciencias","Desempleado"
"Medicina","Informal"
"Ciencias","Desempleado"
"Medicina","Informal"
"Ciencias","Informal"
"Ciencias","Desempleado"
"Ciencias","Desempleado"
"Medicina","Formal"
"Ciencias","Informal"
"Ciencias","Desempleado"
"Medicina","Informal"
"Medicina","Desempleado"
"Ciencias","Informal"
"Ciencias","Informal"
"Ingeniería","Informal"
"Medicina","Desempleado"
"Medicina","Informal"
"Ciencias","Desempleado"
"Medicina","Desempleado"
"Ciencias","Formal"
"Medicina","Informal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Ingeniería","Informal"
"Medicina","Desempleado"
"Medicina","Informal"
"Ciencias","Informal"
"Medicina","Desempleado"
"Ciencias","Informal"
"Medicina","Desempleado"
"Ciencias","Formal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Medicina","Informal"
"Ciencias","Desempleado"
"Ingeniería","Desempleado"
"Medicina","Formal"
"Medicina","Desempleado"
"Medicina","Desempleado"
"Ingeniería","Informal"
"Medicina","Informal"
"Ciencias","Informal"
"Medicina","Desempleado"
"Ciencias","Informal"
"Medicina","Informal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Ciencias","Desempleado"
"Medicina","Informal"
"Ciencias","Informal"
"Medicina","Informal"
"Ingeniería","Desempleado"
"Medicina","Informal"
"Medicina","Informal"
"Ciencias","Informal"
"Ciencias","Desempleado"
"Ingeniería","Desempleado"
"Medicina","Informal"
"Medicina","Informal"
"Ciencias","Desempleado"
"Ciencias","Informal"
"Medicina","Informal"
"Ciencias","Desempleado"
"Medicina","Desempleado"
"Ciencias","Formal"
"Medicina","Desempleado"
"Ciencias","Informal"
"Ciencias","Informal"
"Ciencias","Formal"
"Medicina","Desempleado"
"Ciencias","Desempleado"
"Ingeniería","Desempleado"
"Medicina","Informal"
"Medicina","Informal"
"Ciencias","Desempleado"
"Medicina","Informal"
"Ciencias","Informal"
"Medicina","Desempleado"
"Ingeniería","Informal"
"Medicina","Informal"
"Medicina","Desempleado"
"Medicina","Desempleado"
"Ingeniería","Formal"
"Medicina","Desempleado"
"Ciencias","Informal"
"Ciencias","Informal"
